Model,Vektörizasyon,Val Accuracy,Val F1,Val ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Eğitim Süresi (sn)
Logistic Regression,TF-IDF (04B),0.9155,0.9176,0.9731,0.9164,0.9201,0.9168,0.9185,0.9729,13.98
Linear SVM,TF-IDF (04B),0.9132,0.9154,0.9717,0.9124,0.9163,0.9127,0.9145,0.971,18.92
LightGBM,TF-IDF (04B),0.906,0.9086,0.9688,0.907,0.907,0.9125,0.9097,0.9685,216.17
Multinomial Naive Bayes,TF-IDF (04B),0.9014,0.9044,0.9643,0.8994,0.8978,0.9072,0.9025,0.9637,0.09
LightGBM,BERT (05B),0.8753,0.8783,0.9494,0.876,0.8816,0.876,0.8788,0.9487,153.99
XGBoost,TF-IDF (04B),0.8766,0.878,0.9509,0.8769,0.8931,0.8636,0.8781,0.9504,326.14
XGBoost,BERT (05B),0.8721,0.8749,0.9467,0.8712,0.8766,0.8718,0.8742,0.9461,125.83
Linear SVM,BERT (05B),0.8634,0.8671,0.938,0.8602,0.8626,0.8657,0.8641,0.9367,141.06
Logistic Regression,BERT (05B),0.8626,0.8663,0.9376,0.8598,0.8623,0.8652,0.8637,0.9363,26.02
