Model,Val Accuracy,Val F1,Val ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Eğitim Süresi (sn)
Logistic Regression,0.9155,0.9176,0.973,0.916,0.9194,0.9167,0.9181,0.9728,14.41
Linear SVM,0.9129,0.9151,0.9716,0.9122,0.9157,0.9131,0.9144,0.9709,25.96
LightGBM,0.9048,0.9075,0.9683,0.9059,0.9059,0.9113,0.9086,0.968,1160.97
Multinomial Naive Bayes,0.9013,0.9044,0.9643,0.8995,0.8979,0.9073,0.9026,0.9637,0.11
XGBoost,0.8747,0.8761,0.9499,0.8751,0.8908,0.8623,0.8764,0.9494,1008.34
